# Completeness in stellar mass as a function of redshift
# SFH=exp. declining SFR; IMF=pseudo-kroupa; Z=Zsun=m62; dust=Calzetti, BC03
# Completeness estimated empirically using deeper samples (FIRES, FIREWORKS)
# z   lgM
    0.200000    8.648246
    0.203804    8.654185
    0.207608    8.660118
    0.211411    8.666044
    0.215215    8.671962
    0.219019    8.677874
    0.222823    8.683779
    0.226627    8.689677
    0.230430    8.695568
    0.234234    8.701452
    0.238038    8.707329
    0.241842    8.713200
    0.245646    8.719063
    0.249449    8.724919
    0.253253    8.730769
    0.257057    8.736611
    0.260861    8.742447
    0.264665    8.748275
    0.268468    8.754097
    0.272272    8.759912
    0.276076    8.765720
    0.279880    8.771521
    0.283684    8.777315
    0.287487    8.783102
    0.291291    8.788882
    0.295095    8.794656
    0.298899    8.800422
    0.302703    8.806181
    0.306507    8.811934
    0.310310    8.817679
    0.314114    8.823418
    0.317918    8.829150
    0.321722    8.834874
    0.325526    8.840592
    0.329329    8.846303
    0.333133    8.852007
    0.336937    8.857704
    0.340741    8.863394
    0.344545    8.869078
    0.348348    8.874754
    0.352152    8.880423
    0.355956    8.886086
    0.359760    8.891741
    0.363564    8.897390
    0.367367    8.903031
    0.371171    8.908666
    0.374975    8.914294
    0.378779    8.919915
    0.382583    8.925529
    0.386386    8.931136
    0.390190    8.936736
    0.393994    8.942329
    0.397798    8.947915
    0.401602    8.953494
    0.405405    8.959067
    0.409209    8.964632
    0.413013    8.970191
    0.416817    8.975742
    0.420621    8.981287
    0.424424    8.986825
    0.428228    8.992356
    0.432032    8.997879
    0.435836    9.003396
    0.439640    9.008906
    0.443443    9.014410
    0.447247    9.019906
    0.451051    9.025395
    0.454855    9.030877
    0.458659    9.036353
    0.462462    9.041821
    0.466266    9.047283
    0.470070    9.052737
    0.473874    9.058185
    0.477678    9.063626
    0.481481    9.069060
    0.485285    9.074487
    0.489089    9.079907
    0.492893    9.085320
    0.496697    9.090726
    0.500500    9.096125
    0.504304    9.101517
    0.508108    9.106903
    0.511912    9.112281
    0.515716    9.117653
    0.519520    9.123017
    0.523323    9.128375
    0.527127    9.133725
    0.530931    9.139069
    0.534735    9.144406
    0.538539    9.149736
    0.542342    9.155059
    0.546146    9.160375
    0.549950    9.165684
    0.553754    9.170986
    0.557558    9.176282
    0.561361    9.181570
    0.565165    9.186852
    0.568969    9.192126
    0.572773    9.197394
    0.576577    9.202654
    0.580380    9.207908
    0.584184    9.213155
    0.587988    9.218395
    0.591792    9.223628
    0.595596    9.228854
    0.599399    9.234073
    0.603203    9.239285
    0.607007    9.244490
    0.610811    9.249689
    0.614615    9.254880
    0.618418    9.260065
    0.622222    9.265242
    0.626026    9.270413
    0.629830    9.275576
    0.633634    9.280733
    0.637437    9.285883
    0.641241    9.291026
    0.645045    9.296162
    0.648849    9.301291
    0.652653    9.306413
    0.656456    9.311528
    0.660260    9.316636
    0.664064    9.321738
    0.667868    9.326832
    0.671672    9.331920
    0.675475    9.337000
    0.679279    9.342074
    0.683083    9.347141
    0.686887    9.352200
    0.690691    9.357253
    0.694494    9.362299
    0.698298    9.367338
    0.702102    9.372370
    0.705906    9.377395
    0.709710    9.382414
    0.713513    9.387425
    0.717317    9.392429
    0.721121    9.397427
    0.724925    9.402417
    0.728729    9.407401
    0.732533    9.412378
    0.736336    9.417347
    0.740140    9.422310
    0.743944    9.427266
    0.747748    9.432215
    0.751552    9.437157
    0.755355    9.442092
    0.759159    9.447020
    0.762963    9.451941
    0.766767    9.456856
    0.770571    9.461763
    0.774374    9.466664
    0.778178    9.471557
    0.781982    9.476444
    0.785786    9.481323
    0.789590    9.486196
    0.793393    9.491062
    0.797197    9.495921
    0.801001    9.500773
    0.804805    9.505618
    0.808609    9.510456
    0.812412    9.515287
    0.816216    9.520112
    0.820020    9.524929
    0.823824    9.529739
    0.827628    9.534543
    0.831431    9.539339
    0.835235    9.544129
    0.839039    9.548912
    0.842843    9.553687
